TF,Target,Label
7863,9833,1
5178,2346,0
5335,2704,1
7863,221,1
7863,1337,0
7863,8391,0
5178,9129,1
7863,4516,0
7863,8355,0
8668,3186,0
8668,3393,1
7863,2138,1
8668,7404,1
8668,1507,1
7863,11896,1
7863,3956,1
7863,7664,0
8668,1551,0
8668,6584,1
7863,4260,0
7863,4453,1
5178,2626,0
8668,8613,0
7863,6852,0
7863,7535,1
7863,5346,0
8668,6911,1
8668,2371,0
8668,4906,1
5178,8070,1
8668,5125,1
8668,8989,1
5178,3632,0
8668,1417,1
7863,8535,0
7863,6425,0
7863,10393,0
5335,1754,1
7863,7422,1
7863,9025,1
5335,5885,1
8668,12195,0
7863,9877,1
8668,1414,1
5178,10060,0
5178,102,1
5335,1501,0
8668,770,1
5335,9005,0
8668,5512,1
8668,2490,0
5335,2205,1
5178,11939,1
7863,5072,1
8668,6764,0
7863,4610,0
5178,9770,0
5335,7647,1
7863,42,1
8668,6156,0
5178,2354,0
8668,11485,0
8668,599,0
7863,2555,1
5335,6782,0
8668,10063,1
8668,8480,0
8668,10257,1
5178,11076,0
5178,11338,0
8668,1810,1
8668,11980,1
7863,8698,1
7863,7361,0
8668,1091,0
5335,5707,1
8668,9737,0
7863,11555,0
5178,8851,0
5178,3859,1
7863,4723,0
5178,1470,0
5178,1277,1
7863,3625,1
7863,1083,0
5178,6295,0
8668,837,0
8668,10800,0
5178,10344,0
8668,7913,0
5335,8672,0
8668,11599,1
7863,5270,0
7863,12204,0
5178,5574,1
8668,2434,0
7863,7257,1
7863,1551,1
5178,6969,0
8668,10398,0
7863,6611,0
5335,5674,1
7863,11130,1
5178,8351,0
8668,5304,1
7863,6131,1
5178,6244,1
8668,8190,1
5335,7427,1
7863,2786,1
8668,7726,0
5178,4422,1
8668,9539,0
5178,5961,1
8668,856,1
7863,9535,0
5335,2574,0
5335,1622,0
7863,499,0
5178,1609,0
8668,11179,0
5178,5286,1
7863,7075,0
8668,9119,0
5178,5964,1
8668,10222,0
8668,9231,1
5178,2043,0
7863,5027,1
5178,338,1
5178,11622,1
8668,823,0
8668,5903,1
7863,10347,0
5178,1699,0
7863,30,0
8668,9241,1
5178,11035,1
8668,288,0
7863,1087,1
7863,3627,1
8668,5401,0
5178,3911,1
5178,2449,1
8668,11882,1
8668,7359,0
8668,11885,1
8668,9708,1
8668,9328,1
5335,4264,0
7863,6892,0
7863,4886,0
7863,11591,1
8668,6327,1
5178,9116,0
7863,2294,1
5335,2891,1
7863,9396,1
8668,8987,1
7863,1237,1
5178,736,0
7863,2160,1
5335,7257,1
7863,10033,1
8668,2156,1
5178,11962,1
7863,11281,1
7863,6044,0
7863,7065,0
8668,904,1
5178,12033,1
7863,5704,0
7863,7510,1
5335,8059,0
8668,3199,1
7863,6755,0
7863,2918,0
5178,6530,1
5178,10998,0
8668,4878,0
5178,9193,0
5178,5923,1
8668,4517,0
7863,11631,0
8668,3161,0
7863,3725,0
8668,359,0
5335,10251,1
5178,10518,1
8668,10686,0
5178,7465,0
5178,11650,0
5178,3678,0
5178,3440,0
8668,1310,1
7863,7246,1
7863,878,1
8668,4144,0
8668,4812,0
7863,8683,1
7863,5366,1
8668,5902,1
7863,2578,0
5178,6748,1
7863,9197,0
8668,5913,0
5335,410,0
5178,1540,0
7863,3959,1
8668,10772,1
5178,470,0
7863,4203,0
5178,5125,1
8668,4027,0
7863,6229,1
5335,8338,0
7863,11854,0
7863,3274,0
5178,5893,1
7863,9543,1
8668,3977,0
7863,9007,1
5178,3297,1
7863,3916,1
5335,8881,1
5178,5008,1
8668,11850,1
8668,3791,1
8668,9101,1
7863,2430,0
8668,168,0
7863,360,1
5178,7534,1
5178,3590,0
7863,1498,0
7863,11781,1
7863,6995,1
8668,11432,1
7863,10647,0
8668,11335,1
8668,8352,0
8668,760,0
5335,12049,0
7863,6116,1
5178,6559,1
5178,8232,0
7863,4348,1
7863,2255,0
8668,11920,0
5335,46,1
7863,10283,1
7863,633,0
5335,757,1
5335,3668,1
8668,11866,1
8668,8053,0
5178,7865,1
8668,4447,1
5178,3684,0
5178,77,1
5335,146,1
7863,3310,0
5335,1232,1
5178,8305,0
8668,10739,1
8668,6026,1
7863,272,1
7863,6922,1
5335,6630,0
8668,8377,1
8668,379,0
8668,9753,0
5335,739,1
7863,10218,1
8668,9705,0
5335,7486,0
8668,8997,0
7863,1844,1
5335,3299,1
7863,6300,0
5178,10424,0
8668,9803,1
8668,197,0
8668,5127,1
7863,10685,0
8668,1647,0
8668,9491,1
8668,3059,0
7863,11405,1
7863,12120,0
5178,9407,1
8668,7096,0
7863,9729,0
5178,2482,0
7863,6673,0
5335,3300,0
8668,8739,0
8668,7089,0
5335,9056,0
5178,11283,0
5178,798,0
7863,11708,0
7863,2851,0
7863,10442,1
5335,7222,1
8668,4189,1
7863,9372,1
5178,8493,1
5178,1202,1
7863,8232,0
5178,6700,0
7863,8983,0
8668,8917,0
8668,4616,1
5178,730,1
8668,2750,0
8668,502,0
5178,4892,1
7863,7660,0
5335,3675,0
5178,4120,1
3887,7855,0
8668,11097,0
5335,9121,0
5178,10351,1
8668,6711,0
7863,8423,1
5335,1766,0
5178,10913,1
5335,1604,1
7863,7228,1
5178,7366,0
8668,882,0
7863,5186,1
8668,5092,0
8668,3467,1
5178,333,0
8668,10020,0
7863,2740,1
5178,5790,1
8668,3405,1
5178,3630,1
5178,4451,1
8668,331,1
5178,7707,0
7863,3624,0
8668,7903,1
7863,1040,0
8668,2373,1
7863,378,0
8668,2813,1
8668,6982,0
7863,5456,1
5178,1088,1
5335,7618,0
8668,10038,1
5335,351,0
5335,7189,0
8668,1868,1
7863,8333,1
7863,10714,0
8668,33,1
5178,8761,0
7863,487,1
8668,10957,0
7863,4752,0
5178,3994,0
5178,8520,1
5178,6441,1
7863,719,0
5335,9022,0
5178,4387,1
7863,7731,1
5178,2880,0
5178,10983,1
